"","Countries","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016"
"1","Afghanistan","16","17","21","24","28","32","39","42","46","","","52","52","56","60","60","57"
"2","Albania","76","82","90","114","152","166","173","216","240","207","203","247","247","278","313","264","272"
"3","Algeria","61","67","66","75","92","100","116","150","206","207","228","286","334","330","358","291","260"
"4","Andorra","2,051","2,081","2,256","2,774","3,161","3,536","3,690","4,095","4,202","3,912","3,755","4,014","3,857","4,108","4,346","3,698","3,835"
"5","Angola","13","29","29","35","50","54","69","92","135","120","97","122","122","144","132","109","95"
"6","Antigua and Barbuda","384","413","410","436","428","518","590","668","724","593","664","680","644","656","750","644","623"
"7","Argentina","705","672","223","261","300","391","448","552","694","743","891","1,068","1,161","1,208","1,087","1,299","955"
"8","Armenia","41","45","45","52","98","116","121","171","174","140","169","133","247","318","407","366","359"
"9","Australia","1,632","1,558","1,764","2,241","2,758","3,004","3,177","3,794","4,089","3,998","4,953","5,877","6,047","5,838","5,638","4,888","5,002"
"10","Austria","2,263","2,281","2,486","3,084","3,588","3,709","3,880","4,473","5,037","4,909","4,796","5,161","4,966","5,234","5,386","4,603","4,688"
"11","Azerbaijan","25","26","28","52","75","115","140","179","221","267","288","334","374","406","440","377","268"
"12","Bahamas","1,084","1,092","1,177","1,213","1,293","1,373","1,611","1,694","1,721","1,646","1,657","1,661","1,742","1,697","1,688","1,740","1,835"
"13","Bahrain","486","485","503","567","550","570","591","693","758","785","796","805","971","1,066","1,101","1,129","1,099"
"14","Bangladesh","8","8","9","10","11","11","12","14","15","17","20","22","23","26","29","32","34"
"15","Barbados","605","623","671","788","923","944","1,009","1,025","1,118","1,146","1,098","1,145","1,273","1,258","1,178","1,158","1,164"
"16","Belarus","57","74","87","109","142","197","222","279","350","289","342","318","364","454","448","361","318"
"17","Belgium","1,845","1,878","2,075","2,786","3,230","3,325","3,455","3,962","4,508","4,504","4,390","4,792","4,543","4,804","4,909","4,092","4,149"
"18","Belize","133","145","137","157","157","166","174","198","208","226","250","252","249","268","274","291","304"
"19","Benin","16","17","17","22","24","24","25","28","30","31","31","35","39","36","34","31","30"
"20","Bhutan","32","37","37","38","47","47","54","64","56","58","70","74","80","82","82","91","91"
"21","Bosnia and Herzegovina","113","112","127","180","243","262","302","387","482","424","416","464","448","478","497","429","444"
"22","Botswana","195","206","145","241","305","281","269","300","321","350","381","471","499","378","398","389","380"
"23","Brazil","245","212","231","240","292","393","488","605","713","722","1,091","1,288","1,234","1,251","1,301","1,003","1,016"
"24","Brunei Darussalam","508","465","473","535","619","646","655","703","789","742","803","876","882","847","795","739","631"
"25","Bulgaria","94","120","148","196","233","268","294","361","456","459","485","556","559","601","666","572","612"
"26","Burkina Faso","8","8","9","12","18","18","21","28","30","32","34","35","33","43","40","34","41"
"27","Burundi","8","9","8","7","10","13","16","18","18","22","26","25","22","22","16","14","18"
"28","Cabo Verde Republic of","62","66","71","87","96","98","115","130","130","133","148","158","172","187","187","159","159"
"29","Cambodia","20","23","25","25","29","32","33","31","49","56","54","66","69","72","73","72","78"
"30","Cameroon","26","28","31","39","42","43","44","51","61","58","59","49","63","67","71","64","64"
"31","Canada","1,999","2,054","2,151","2,552","2,913","3,283","3,710","4,125","4,389","4,291","4,985","5,298","5,353","5,296","5,038","4,502","4,458"
"32","Central African Republic","12","10","11","13","13","15","16","19","18","20","17","19","19","16","18","22","16"
"33","Chad","10","12","18","18","28","32","35","35","38","36","36","39","35","47","47","36","32"
"34","Chile","359","329","324","351","429","502","572","650","727","738","871","996","1,083","1,187","1,155","1,140","1,191"
"35","China","42","44","49","56","64","72","82","98","133","164","188","238","284","328","362","393","398"
"36","Colombia","135","133","126","128","142","187","214","270","328","329","391","419","448","467","459","364","340"
"37","Comoros","46","43","48","57","63","62","62","68","72","68","67","79","65","69","69","58","59"
"38","Congo","17","20","17","21","27","31","36","42","63","49","55","61","73","73","72","58","70"
"39","Cook Islands","163","184","221","271","331","386","352","429","402","400","478","532","528","552","597","467","576"
"40","Costa Rica","251","259","280","292","295","314","366","430","519","538","665","743","774","812","830","886","889"
"41","Croatia","371","389","387","512","635","727","816","1,041","1,259","1,188","1,126","1,132","1,030","931","958","838","884"
"42","Cte d'Ivoire","36","32","32","40","48","50","55","67","76","76","75","73","75","72","79","75","68"
"43","Cuba","180","198","213","227","231","331","386","569","608","674","607","693","598","705","856","973","971"
"44","Cyprus","751","783","891","1,124","1,258","1,328","1,432","1,642","2,157","2,105","1,959","2,153","1,942","1,920","1,848","1,582","1,634"
"45","Czech Republic","343","389","498","641","746","853","942","1,110","1,449","1,442","1,374","1,517","1,387","1,555","1,513","1,284","1,322"
"46","Democratic Republic of the Congo","20","6","5","7","9","9","11","12","16","14","13","13","14","16","19","20","21"
"47","Denmark","2,496","2,603","2,896","3,607","4,195","4,443","4,779","5,468","6,138","6,222","6,012","6,281","6,004","6,237","6,381","5,469","5,566"
"48","Djibouti","32","31","40","46","40","41","47","50","54","55","55","68","71","67","72","82","70"
"49","Dominica","245","255","255","258","269","270","289","319","354","395","387","399","396","382","398","399","419"
"50","Dominican Republic","137","141","145","100","105","167","162","194","234","250","300","327","352","351","371","391","414"
"51","Ecuador","48","71","97","132","150","169","191","211","249","274","332","411","484","520","551","528","505"
"52","Egypt","73","72","67","53","53","63","70","78","96","105","111","123","143","140","154","157","131"
"53","El Salvador","182","185","185","186","192","204","205","209","218","230","240","258","257","272","276","283","294"
"54","Equatorial Guinea","44","56","69","98","133","151","185","232","292","279","263","289","311","349","338","280","281"
"55","Eritrea","9","10","11","13","16","15","16","13","13","19","17","25","20","22","24","27","30"
"56","Estonia","210","215","250","349","450","511","618","832","1,039","963","926","1,015","1,013","1,144","1,237","1,112","1,185"
"57","Ethiopia","5","6","5","6","6","7","8","11","13","15","17","15","21","20","22","25","28"
"58","Fiji","77","64","73","91","118","129","136","151","144","129","135","148","161","165","185","174","180"
"59","Finland","1,654","1,736","1,970","2,508","2,925","3,109","3,284","3,772","4,312","4,176","4,096","4,544","4,406","4,714","4,733","4,132","4,117"
"60","France","2,156","2,191","2,438","3,000","3,452","3,574","3,798","4,294","4,775","4,706","4,576","4,932","4,650","4,899","5,010","4,212","4,263"
"61","Gabon","127","125","137","173","189","198","221","263","282","294","217","274","237","275","245","198","220"
"62","Gambia","23","20","17","15","18","21","24","30","36","32","32","32","31","30","23","22","21"
"63","Georgia","48","51","59","72","94","119","137","177","256","247","263","290","323","335","349","281","308"
"64","Germany","2,332","2,339","2,550","3,137","3,442","3,546","3,683","4,166","4,635","4,642","4,597","5,019","4,750","5,087","5,278","4,606","4,714"
"65","Ghana","17","20","20","24","28","43","49","59","68","67","80","99","90","111","82","82","68"
"66","Greece","885","1,004","1,163","1,516","1,744","2,032","2,227","2,615","3,007","2,816","2,574","2,354","1,968","1,834","1,725","1,476","1,511"
"67","Grenada","261","274","304","301","299","356","394","416","447","442","449","445","432","441","446","454","516"
"68","Guatemala","84","101","108","114","121","132","148","158","174","166","172","187","194","204","219","216","241"
"69","Guinea","17","16","19","19","18","14","13","19","19","19","20","23","23","25","36","42","37"
"70","Guinea-Bissau","21","18","16","21","27","27","27","34","41","36","35","37","29","30","41","38","39"
"71","Guyana","41","43","47","51","53","59","78","94","107","125","141","169","183","196","207","184","192"
"72","Haiti","30","27","22","18","23","25","29","37","40","41","55","75","73","58","64","42","38"
"73","Honduras","71","70","74","81","86","102","117","131","151","161","167","185","188","177","179","181","200"
"74","Hungary","313","360","473","683","798","895","893","1,003","1,117","944","983","1,063","961","991","1,006","888","943"
"75","Iceland","2,888","2,553","3,078","3,948","4,506","5,238","5,069","6,036","4,874","3,655","3,676","3,928","3,776","4,096","4,515","4,282","5,064"
"76","India","19","20","20","22","25","28","30","36","38","38","45","49","49","56","57","59","63"
"77","Indonesia","16","18","20","27","27","35","46","58","62","65","92","107","107","107","109","100","112"
"78","Iran","80","94","105","115","141","173","198","246","299","368","441","525","519","414","383","375","415"
"79","Iraq","28","54","54","57","97","130","163","145","","","","163","179","195","187","154","153"
"80","Ireland","1,561","1,822","2,190","2,904","3,477","3,937","4,143","4,852","5,616","5,481","5,128","5,601","5,295","5,349","5,391","4,626","4,759"
"81","Israel","1,497","1,542","1,388","1,418","1,472","1,538","1,581","1,786","2,129","2,024","2,218","2,421","2,387","2,659","2,801","2,735","2,837"
"82","Italy","1,520","1,585","1,754","2,158","2,561","2,676","2,830","3,088","3,490","3,324","3,215","3,388","3,126","3,196","3,190","2,709","2,739"
"83","Jamaica","196","181","175","158","196","182","194","236","256","214","235","251","260","262","254","280","296"
"84","Japan","2,740","2,480","2,404","2,642","2,876","2,883","2,754","2,772","3,213","3,686","4,060","5,087","5,212","4,336","4,099","3,734","4,233"
"85","Jordan","160","171","175","172","186","195","204","229","296","332","309","318","309","293","302","257","224"
"86","Kazakhstan","51","51","59","75","112","143","175","179","253","249","246","311","380","372","348","321","262"
"87","Kenya","21","22","22","25","28","31","41","50","55","55","59","57","65","68","71","66","66"
"88","Kiribati","69","91","98","108","140","140","135","157","201","177","140","149","154","162","161","118","188"
"89","Kuwait","463","597","635","713","742","844","963","977","1,074","1,455","1,061","1,264","1,319","1,251","1,375","1,169","1,068"
"90","Kyrgyzstan","12","13","15","22","27","36","46","51","64","61","61","80","100","106","108","82","73"
"91","Lao People's Democratic Republic","14","15","13","18","17","18","20","25","27","36","35","28","33","44","46","53","55"
"92","Latvia","182","205","237","281","393","441","552","807","914","745","689","765","746","807","856","776","874"
"93","Lebanon","570","546","496","456","438","407","470","520","554","593","659","712","714","677","680","661","662"
"94","Lesotho","29","28","24","33","42","42","49","65","68","80","93","121","113","111","108","97","86"
"95","Liberia","12","10","8","7","22","26","24","36","35","44","45","54","55","58","64","72","68"
"96","Libya","245","254","181","190","202","212","235","276","322","356","401","313","","","","",""
"97","Lithuania","217","219","254","339","367","439","536","704","936","865","805","925","897","959","1,021","920","988"
"98","Luxembourg","2,894","3,106","3,583","4,596","5,601","5,817","6,066","6,662","7,548","7,640","7,452","7,165","7,097","7,536","7,757","6,353","6,271"
"99","Madagascar","13","16","15","15","13","15","16","20","21","20","22","23","18","20","23","22","24"
"100","Malawi","9","8","11","12","16","17","21","25","32","35","33","38","32","39","34","34","30"
"101","Malaysia","111","115","122","143","155","164","204","234","271","251","293","353","382","389","422","376","362"
"102","Maldives","221","230","247","236","296","322","387","462","755","668","603","586","648","675","716","852","1,048"
"103","Mali","14","13","15","18","23","24","27","31","33","33","31","34","34","42","38","31","30"
"104","Malta","641","682","831","1,075","1,224","1,381","1,476","1,596","1,752","1,677","1,733","1,960","1,985","2,290","2,464","2,250","2,328"
"105","Marshall Islands","535","472","457","463","545","697","758","661","637","611","607","628","657","704","650","768","851"
"106","Mauritania","21","22","24","27","29","31","32","37","45","41","40","44","46","52","55","54","47"
"107","Mauritius","119","119","136","162","190","198","209","236","322","310","367","397","398","453","560","529","553"
"108","Mexico","310","354","375","401","435","472","501","543","528","450","519","547","563","604","586","525","462"
"109","Micronesia (Federated States of)","168","189","178","219","235","271","256","271","299","338","371","387","377","363","350","368","387"
"110","Monaco","1,411","1,436","1,569","2,230","2,585","2,633","2,690","2,989","3,477","3,398","3,370","3,534","3,398","3,712","3,865","3,315","2,940"
"111","Mongolia","29","27","34","27","33","38","45","59","85","67","89","122","154","165","156","153","141"
"112","Montenegro","","","","","","","","","","","","532","","","","",""
"113","Morocco","54","56","63","79","93","97","110","137","155","170","169","177","169","178","182","157","171"
"114","Mozambique","10","13","13","15","17","23","23","23","23","23","21","23","31","32","37","27","19"
"115","Myanmar","3","3","5","5","5","5","6","7","10","14","15","19","23","25","64","62","62"
"116","Namibia","213","188","177","275","362","443","471","459","397","341","492","544","528","474","442","466","403"
"117","Nauru","292","270","294","344","317","327","362","589","814","566","650","688","858","691","910","903","1,012"
"118","Nepal","9","11","11","11","13","15","14","18","19","21","30","34","34","35","41","45","45"
"119","Netherlands","1,836","1,985","2,299","2,987","3,410","3,858","4,085","4,740","5,428","5,327","5,249","5,645","5,402","5,629","5,676","4,662","4,742"
"120","New Zealand","1,054","1,049","1,246","1,611","1,984","2,295","2,302","2,699","2,839","2,701","3,216","3,626","3,807","3,956","4,145","3,582","3,745"
"121","Nicaragua","53","54","54","49","59","65","70","87","100","105","99","119","134","135","153","166","188"
"122","Niger","9","10","11","13","15","19","20","21","25","24","23","25","23","25","25","26","23"
"123","Nigeria","15","16","16","35","39","47","61","68","81","68","76","84","92","102","107","98","79"
"124","Niue","318","1,445","467","649","837","823","3,500","1,224","1,543","1,544","1,288","2,089","1,103","1,119","1,228","872","1,010"
"125","Norway","2,949","3,099","3,890","4,633","5,097","5,585","5,893","6,896","7,768","7,302","7,860","8,900","8,970","9,241","9,118","7,566","7,478"
"126","Oman","264","261","274","288","301","320","333","383","444","475","529","535","564","593","722","706","648"
"127","Pakistan","16","14","16","15","16","21","26","30","27","25","27","28","28","32","37","38","40"
"128","Palau","676","639","668","705","889","868","913","955","925","932","1,038","1,014","1,183","1,292","1,402","1,471","1,674"
"129","Panama","286","281","292","288","326","305","350","427","490","531","580","619","705","790","884","930","1,041"
"130","Papua New Guinea","19","20","21","22","26","28","31","35","37","39","42","57","76","84","107","73","55"
"131","Paraguay","89","78","54","58","70","75","96","124","168","161","201","268","294","312","359","321","327"
"132","Peru","90","98","106","112","117","124","142","159","189","207","239","265","303","319","332","314","316"
"133","Philippines","33","28","27","32","34","47","55","66","77","79","92","99","113","123","117","124","129"
"134","Poland","238","283","316","339","392","466","524","661","893","760","809","866","815","878","896","797","809"
"135","Portugal","967","989","1,105","1,406","1,679","1,773","1,813","2,067","2,322","2,279","2,213","2,208","1,919","1,959","1,987","1,725","1,801"
"136","Qatar","602","658","737","1,206","1,286","1,323","1,328","1,322","1,328","1,321","1,258","1,375","1,548","1,833","2,104","2,056","1,827"
"137","Republic of Korea","474","523","558","658","732","902","1,084","1,241","1,162","1,117","1,378","1,523","1,576","1,712","1,910","1,927","2,044"
"138","Republic of Moldova","21","25","34","38","65","79","100","135","186","209","198","215","224","232","231","186","171"
"139","Romania","70","79","97","144","191","255","291","415","521","449","472","427","402","495","503","442","476"
"140","Russian Federation","95","118","141","165","209","272","353","462","610","517","567","685","760","811","742","502","469"
"141","Rwanda","10","9","8","19","22","27","32","39","45","49","53","52","57","52","49","46","48"
"142","Saint Kitts and Nevis","445","438","459","471","475","532","652","664","820","805","789","830","764","782","826","832","931"
"143","Saint Lucia","283","288","304","322","312","337","403","446","445","410","456","490","482","487","501","494","490"
"144","Saint Vincent and the Grenadines","136","146","157","157","163","169","175","199","214","222","234","221","244","250","244","242","250"
"145","Samoa","63","59","76","86","109","126","138","153","163","179","193","220","205","257","259","223","227"
"146","San Marino","2,044","2,072","2,113","2,354","2,953","3,018","3,190","3,726","4,306","4,177","3,974","4,267","4,010","4,018","3,879","3,146","3,013"
"147","Sao Tome and Principe","64","60","61","82","82","93","70","73","80","79","77","88","89","129","123","87","105"
"148","Saudi Arabia","384","386","368","381","399","469","554","586","595","691","703","882","1,017","1,113","1,285","1,244","1,147"
"149","Senegal","21","24","26","35","42","36","38","39","47","48","49","55","54","59","60","51","53"
"150","Serbia","57","112","173","230","274","308","372","547","673","576","545","619","560","628","609","491","494"
"151","Seychelles","354","336","351","385","411","407","418","372","276","239","380","391","506","497","490","492","597"
"152","Sierra Leone","23","25","29","29","29","32","34","36","40","43","44","59","60","82","140","120","86"
"153","Singapore","821","707","752","829","829","863","946","1,085","1,275","1,319","1,502","1,687","1,848","2,099","2,215","2,302","2,462"
"154","Slovakia","204","212","254","344","519","601","729","1,029","1,252","1,315","1,295","1,351","1,320","1,370","1,288","1,108","1,179"
"155","Slovenia","797","826","945","1,203","1,369","1,449","1,542","1,794","2,171","2,117","2,015","2,145","1,975","2,055","2,060","1,775","1,834"
"156","Solomon Islands","50","64","59","56","68","93","91","92","97","91","94","123","109","110","120","103","106"
"157","South Africa","222","195","169","254","323","354","362","386","372","413","540","597","580","526","510","471","428"
"158","Spain","1,003","1,044","1,169","1,633","1,915","2,052","2,228","2,589","2,968","2,914","2,778","2,899","2,590","2,630","2,671","2,352","2,390"
"159","Sri Lanka","44","41","43","42","51","57","65","74","93","101","109","119","114","139","139","151","153"
"160","Sudan","17","19","21","28","37","47","70","104","107","111","109","122","100","123","116","158","152"
"161","Suriname","169","112","188","205","253","290","346","339","393","428","461","449","495","521","538","585","356"
"162","Swaziland","75","66","61","102","132","165","178","185","201","210","313","330","284","264","252","231","221"
"163","Sweden","2,173","2,170","2,477","3,134","3,513","3,574","3,789","4,322","4,653","4,152","4,437","6,387","6,274","6,723","6,628","5,623","5,711"
"164","Switzerland","3,738","3,957","4,421","5,277","5,890","5,965","5,901","6,402","7,411","7,599","8,022","9,572","9,287","9,690","10,015","9,808","9,836"
"165","Syria","54","58","64","61","62","64","66","76","88","92","94","83","66","","","",""
"166","Tajikistan","6","8","8","11","15","18","20","29","42","39","42","49","57","66","74","63","56"
"167","Thailand","62","57","70","77","83","91","104","127","151","152","172","196","206","213","219","214","222"
"168","The former Yugoslav Republic of Macedonia","164","152","175","217","232","234","246","266","315","297","305","330","311","350","344","307","328"
"169","Timor-Leste","13","14","19","24","26","29","42","49","51","","","63","70","82","79","87","80"
"170","Togo","10","10","11","14","15","16","17","19","24","26","31","35","35","39","40","35","39"
"171","Tonga","58","60","69","74","110","117","159","144","204","127","178","168","222","177","216","181","203"
"172","Trinidad and Tobago","277","284","338","374","450","553","593","696","784","810","862","912","937","1,017","1,061","1,116","1,064"
"173","Tunisia","112","115","126","151","170","172","181","205","233","234","244","274","273","288","291","268","257"
"174","Turkey","200","154","187","239","300","365","417","513","571","500","539","532","525","552","527","455","469"
"175","Turkmenistan","77","124","132","209","319","345","374","282","255","194","222","277","319","376","438","405","423"
"176","Tuvalu","358","271","217","287","228","241","292","292","312","330","477","520","499","512","522","453","507"
"177","Uganda","19","20","22","22","31","38","43","52","57","55","63","54","53","50","48","40","38"
"178","Ukraine","35","45","53","69","85","116","148","186","216","168","207","244","276","299","197","142","141"
"179","United Arab Emirates","782","772","851","879","890","915","985","1,095","1,340","1,339","1,359","1,484","1,442","1,556","1,613","1,402","1,323"
"180","United Kingdom","1,674","1,739","1,966","2,347","2,828","3,010","3,255","3,741","3,606","3,275","3,309","3,501","3,496","4,190","4,568","4,356","3,958"
"181","United Republic of Tanzania","13","15","17","20","23","27","35","35","35","33","36","38","41","42","38","32","35"
"182","United States of America","4,560","4,911","5,328","5,737","6,100","6,451","6,819","7,175","7,420","7,699","7,958","8,165","8,438","8,639","9,053","9,524","9,870"
"183","Uruguay","688","669","430","378","371","440","501","576","741","808","1,024","1,223","1,323","1,489","1,468","1,399","1,379"
"184","Uzbekistan","30","26","20","21","23","27","32","40","51","62","72","84","105","115","117","132","135"
"185","Vanuatu","49","46","55","55","63","62","68","73","82","84","100","115","119","132","109","119","110"
"186","Venezuela (Bolivarian Republic of)","239","266","186","169","210","263","349","480","643","803","830","691","694","635","906","1,578",""
"187","Viet Nam","19","23","20","22","29","35","42","49","59","64","78","89","108","119","116","117","123"
"188","Yemen","25","26","27","35","38","42","50","58","69","65","68","64","74","78","80","72",""
"189","Zambia","24","25","26","31","37","47","61","48","55","50","54","57","68","87","67","59","57"
"190","Zimbabwe","85","","","","","","","","","","","67","66","67","89","94","94"
